,     ,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3 Values,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
16,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/snd,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1012, ,
17,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/spw,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1013, ,
18,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/sti,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1014, ,
19,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tci,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1015, ,
20,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tcn,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1017, ,
21,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tcm,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1016,,
22,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tct,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1018,,
23,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tcf,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1019,,
24,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/txt,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1020,,
25,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tdf,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1021,,
26,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tdm,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1022,,
27,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/tdi,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1023,,
28,not mapped,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/xxx,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,,,
29,not mapped,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,$1|$0,http://id.loc.gov/vocabulary/contentTypes/zzz,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,,,
30,reviewed,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,0,starts with 'http',not($1),,0,not starts with 'http://id.loc.gov/vocabulary/contentTypes',http://rdaregistry.info/Elements/e/datatype/P20001,has content type,IRI,,"If $0 starts with http, and there is no $1, map as [Expression] rdae:P20001 [value of $0]",,
31,reviewed,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,0,does not start with 'http',not($1),,,, ,, ,,do not map a $0 that does not begin with 'http',,
32,reviewed,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,not(rdacontent or rdaco),"not($1, or $0 begnning with http)",,,,http://rdaregistry.info/Elements/e/datatype/P20001,has content type,IRI,Term that describes the content type for a manifestation. [MCM?],"[Expression] rdae:P20001 skos:Concept(mintedIRI)
skos:Concept skos:prefLabel <$a or $b if no $a>
skos:Concept skos:notation <$b>^^datatypeIRI
skos:Concept skos:inScheme <$2>

only include $b as skos:notation when pattern is $a$b$a$b
mint a concept for each $a value present in the field, or in the case that it is all $b, for each $b value
PS 2024-7-11

coded. equivalent map. --TG, 2022-11-11",,
33,reviewed,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,a,Content type term (R),,,2,rdaco,"not($1, or $0 begnning with http)",,,,http://rdaregistry.info/Elements/e/datatype/P20001,has content type,IRI,Term that describes the content type for a manifestation. [MCM?],"[Expression] rdae:P20001 [look up IRI at https://www.rdaregistry.info/termList/RDAContentType/]
PS 2024-7-11

coded. equivalent map. --TG, 2022-11-11",,
34,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,cartographic dataset|crd,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1001,,
35,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,cartographic image|cri,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1002,,
36,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,cartographic moving image|crm,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1003,,
37,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,cartographic tactile image|crt,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1004,,
38,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,cartographic tactile three-dimensional form|crn,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1005,,
39,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,cartographic three-dimensional form|crf,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1006,,
40,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,computer dataset|cod,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1007,,
41,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,computer program|cop,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1008,,
42,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,notated movement|ntv,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1009,,
43,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,notated music|ntm,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1010,,
44,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 {value of $1},,
45,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,performed music|prm,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1011,,
46,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,sounds|snd,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1012,,
47,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,spoken word|spw,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1013,,
48,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,still image|sti,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1014,,
49,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,tactile image|tci,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1015,,
50,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,tactile notated movement|tcn,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI, ,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1017,,
51,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,tactile notated music|tcm,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1016,,
52,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,tactile text|tct,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1018,,
53,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,tactile three-dimensional form|tcf,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1019,,
54,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,text|txt,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1020,,
55,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,three-dimensional form|tdf,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1021,,
56,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,three-dimensional moving image|tdm,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1022,,
57,first pass,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,two-dimensional moving image|tdi,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,[Expression] rdaeo:P20001 http://rdaregistry.info/termList/RDAContentType/1023,,
58,not mapped,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,"a, b","Content type term (R), Content type code (R)",,,2,rdacontent,"not($1, or $0 begnning with http)",,a|b,unspecified|zzz|other|xxx,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,,,
59,reviewed,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,a,Content type term (R),,,not($2), ,"not($1, or $0 begnning with http)",,,,http://rdaregistry.info/Elements/e/datatype/P20001,has content type,unstructured description,Term that describes the content type for a manifestation. [MCM?],"[Expression] rdaed:P20001 [value of $a]
PS 2024-7-11

coded. equivalent map. --TG, 2022-11-11",,
60,reviewed,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,b,Content type code (R),,,not($2),,"not($1, or $0 begnning with http)",,,,http://rdaregistry.info/Elements/e/datatype/P20001,has content type,unstructured description,Code that represents the content type for a manifestation (MCM?],"[Expression] rdaed:P20001 [value of $b]
PS 2024-7-11

coded. equivalent map. --TG, 2022-11-11",,
61,reviewed,336,CONTENT TYPE (R),Undefined,#,Undefined,Undefined,#,Undefined,,,3,Materials specified (NR),,,,,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation, unstructured ,,"Construct a value for rdaed:P20071:
""Content Type {336$a value} applies to {336$3 value}""

This has to be done for each $a as these subfields are repeatable; do note that $3 is not repeatable

We are not at present associating the $0 or $1 with a $3 value.

updated --CEY, 2025-04-03","The essential issue is the identification of the expression or manifestation that is the subject of the output triple(s). If we know that subfield $3 pertains to a subunit of the manifestation in focus, then the information on materials specified can be assigned to the manifestation being described (the superunit), but I think subfield $3 also covers separately published accompanying manifestations or embodied expressions, and then it's tricky.--Gordon 7/8/2024

I think for now it's ok for us to map this provisionally to note on manifestation, removing the ""the manifestation's"" from the output note. Let's revisit this for Phase II when we start mapping diachronic works/other aggregate types and look at examples to see what else we can do with it. Maybe we could also take a sample of the values we find in $3 here from our output data and see how it looks. -CEY 2025-04-03",
62,delete,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,Value is an identifier but not an IRI,,,,,,http://rdaregistry.info/Elements/e/datatype/P20001,has content type,IDENTIFIER,,"Treat same as $a and $b, which includes making a note if there is a $3 and a comment when there is a $2. --TG, 2022-11-11

Coded --TG, 2022-11-11",Identifier or IRI that represents the content type for a manifestation [MCM?],
63,delete,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,Value is an IRI,,$2 contains 'rda',,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,,RDA Content Type,,
64,delete,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,0,Authority record control number or standard number (R),,,Value is an IRI,,$2 is either not present or does not contain 'rda',,,,[decision pending on mapping],,IDENTIFIER,,"Not yet mapped. Required ruling on how to handle $0 IRIs that are not from RDA vocabularies. 

Temporary solution: output XML comment: ""MARC data source and field 336 contains a $0 IRI value representing authority data; a solution for outputting these in RDA is not yet devised.""

Temporary solution coded. --TG, 2022-11-11",,
65,delete,336,CONTENT TYPE (R),Undefined,*,,Undefined,*,,,,1,Real World Object URI (R),,,,,,,,,http://rdaregistry.info/Elements/e/object/P20001,has content type,IRI,RDA Content Type,"Coded. --TG, 2022-11-11",IRI that represents the content type for a manifestation [MCM?],
