,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,Unnamed: 23,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
3504,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,dramatization of expression|is dramatization of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20123,is dramatization of expression,,,,,
3505,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,verse adaptation of expression|is verse adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20124,is verse adaptation of expression,,,,,
3506,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture adaptation of expression|is motion picture adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20125,is motion picture adaptation of expression,,,,,
3507,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,novelization of expression|is novelization of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20126,is novelization of expression,,,,,
3508,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio adaptation of expression|is radio adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20127,is radio adaptation of expression,,,,,
3509,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television adaptation of expression|is television adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20128,is television adaptation of expression,,,,,
3510,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay based on expression|is screenplay based on expression,,,,,,,,http://rdaregistry.info/Elements/e/P20129,is screenplay based on expression,,,,,
3511,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture screenplay based on expression|is motion picture screenplay based on expression,,,,,,,,http://rdaregistry.info/Elements/e/P20130,is motion picture screenplay based on expression,,,,,
3512,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television screenplay based on expression|is television screenplay based on expression,,,,,,,,http://rdaregistry.info/Elements/e/P20131,is television screenplay based on expression,,,,,
3513,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video screenplay based on expression|is video screenplay based on expression,,,,,,,,http://rdaregistry.info/Elements/e/P20132,is video screenplay based on expression,,,,,
3514,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio script based on expression|is radio script based on expression,,,,,,,,http://rdaregistry.info/Elements/e/P20133,is radio script based on expression,,,,,
3515,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video adaptation of expression|is video adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20134,is video adaptation of expression,,,,,
3516,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,digest of expression|is digest of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20135,is digest of expression,,,,,
3517,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,arrangement of|is arrangement of,,,,,,,,http://rdaregistry.info/Elements/e/P20139,is arrangement of,,,,,
3518,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,free translation of expression|is free translation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20140,is free translation of expression,,,,,
3519,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,translation of|is translation of,,,,,,,,http://rdaregistry.info/Elements/e/P20141,is translation of,,,,,
3520,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,parodied as expression|is parodied as expression,,,,,,,,http://rdaregistry.info/Elements/e/P20142,is parodied as expression,,,,,
3521,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,part expression|has part expression,,,,,,,,http://rdaregistry.info/Elements/e/P20145,has part expression,,,,,
3522,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,errata to expression|is errata to expression,,,,,,,,http://rdaregistry.info/Elements/e/P20146,is errata to expression,,,,,
3523,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,guide to expression|is guide to expression,,,,,,,,http://rdaregistry.info/Elements/e/P20147,is guide to expression,,,,,
3524,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,illustrations for expression|is illustrations for expression,,,,,,,,http://rdaregistry.info/Elements/e/P20148,is illustrations for expression,,,,,
3525,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,supplement to expression|is supplement to expression,,,,,,,,http://rdaregistry.info/Elements/e/P20151,is supplement to expression,,,,,
3526,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adaptation of expression|is adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20152,is adaptation of expression,,,,,
3527,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as expression|is adapted as expression,,,,,,,,http://rdaregistry.info/Elements/e/P20153,is adapted as expression,,,,,
3528,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,finding aid expression|has finding aid expression,,,,,,,,http://rdaregistry.info/Elements/e/P20155,has finding aid expression,,,,,
3529,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,index expression|has index expression,,,,,,,,http://rdaregistry.info/Elements/e/P20156,has index expression,,,,,
3530,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay expression|has screenplay expression,,,,,,,,http://rdaregistry.info/Elements/e/P20157,has screenplay expression,,,,,
3531,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture screenplay expression|has motion picture screenplay expression,,,,,,,,http://rdaregistry.info/Elements/e/P20158,has motion picture screenplay expression,,,,,
3532,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,musical setting of expression|is musical setting of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20159,is musical setting of expression,,,,,
3533,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio script expression|has radio script expression,,,,,,,,http://rdaregistry.info/Elements/e/P20160,has radio script expression,,,,,
3534,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television screenplay expression|has television screenplay expression,,,,,,,,http://rdaregistry.info/Elements/e/P20161,has television screenplay expression,,,,,
3535,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video screenplay expression|has video screenplay expression,,,,,,,,http://rdaregistry.info/Elements/e/P20162,has video screenplay expression,,,,,
3536,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,libretto expression|has libretto expression,,,,,,,,http://rdaregistry.info/Elements/e/P20163,has libretto expression,,,,,
3537,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,paraphrased as expression|is paraphrased as expression,,,,,,,,http://rdaregistry.info/Elements/e/P20164,is paraphrased as expression,,,,,
3538,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,arranged as|is arranged as,,,,,,,,http://rdaregistry.info/Elements/e/P20165,is arranged as,,,,,
3539,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abridged as expression|is abridged as expression,,,,,,,,http://rdaregistry.info/Elements/e/P20166,is abridged as expression,,,,,
3540,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,digested as expression|is digested as expression,,,,,,,,http://rdaregistry.info/Elements/e/P20170,is digested as expression,,,,,
3541,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,translated as|is translated as,,,,,,,,http://rdaregistry.info/Elements/e/P20171,is translated as,,,,,
3542,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,supplement expression|has supplement expression,,,,,,,,http://rdaregistry.info/Elements/e/P20172,has supplement expression,,,,,
3543,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay for motion picture expression|is screenplay for motion picture expression,,,,,,,,http://rdaregistry.info/Elements/e/P20173,is screenplay for motion picture expression,,,,,
3544,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay for television program expression|is screenplay for television program expression,,,,,,,,http://rdaregistry.info/Elements/e/P20174,is screenplay for television program expression,,,,,
3545,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,screenplay for video expression|is screenplay for video expression,,,,,,,,http://rdaregistry.info/Elements/e/P20175,is screenplay for video expression,,,,,
3546,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,script for radio program expression|is script for radio program expression,,,,,,,,http://rdaregistry.info/Elements/e/P20176,is script for radio program expression,,,,,
3547,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,addenda to expression|is addenda to expression,,,,,,,,http://rdaregistry.info/Elements/e/P20177,is addenda to expression,,,,,
3548,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,summary of expression|is summary of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20179,is summary of expression,,,,,
3549,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,catalogue of expression|is catalogue of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20180,is catalogue of expression,,,,,
3550,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,concordance to expression|is concordance to expression,,,,,,,,http://rdaregistry.info/Elements/e/P20181,is concordance to expression,,,,,
3551,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,choreographic adaptation of expression|is choreographic adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20183,is choreographic adaptation of expression,,,,,
3552,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expanded version of expression|is expanded version of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20184,is expanded version of expression,,,,,
3553,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,remake of expression|is remake of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20185,is remake of expression,,,,,
3554,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,paraphrase of expression|is paraphrase of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20186,is paraphrase of expression,,,,,
3555,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,index to expression|is index to expression,,,,,,,,http://rdaregistry.info/Elements/e/P20188,is index to expression,,,,,
3556,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,revision of|is revision of,,,,,,,,http://rdaregistry.info/Elements/e/P20189,is revision of,,,,,
3557,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,libretto based on expression|is libretto based on expression,,,,,,,,http://rdaregistry.info/Elements/e/P20190,is libretto based on expression,,,,,
3558,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,augmentation of expression|is augmentation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20192,is augmentation of expression,,,,,
3559,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,abstracts for expression|is abstracts for expression,,,,,,,,http://rdaregistry.info/Elements/e/P20193,is abstracts for expression,,,,,
3560,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,indexing for expression|is indexing for expression,,,,,,,,http://rdaregistry.info/Elements/e/P20194,is indexing for expression,,,,,
3561,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,imitation of expression|is imitation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20195,is imitation of expression,,,,,
3562,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,parody of expression|is parody of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20196,is parody of expression,,,,,
3563,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,finding aid for expression|is finding aid for expression,,,,,,,,http://rdaregistry.info/Elements/e/P20197,is finding aid for expression,,,,,
3564,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression of derivative work|has expression of derivative work,,,,,,,,http://rdaregistry.info/Elements/e/P20203,has expression of derivative work,,,,,
3565,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression of source work|has expression of source work,,,,,,,,http://rdaregistry.info/Elements/e/P20204,has expression of source work,,,,,
3566,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,revised as|is revised as,,,,,,,,http://rdaregistry.info/Elements/e/P20211,is revised as,,,,,
3567,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,musical theatre adaptation of expression|is musical theatre adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20239,is musical theatre adaptation of expression,,,,,
3568,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,opera adaptation of expression|is opera adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20240,is opera adaptation of expression,,,,,
3569,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as musical theatre expression|is adapted as musical theatre expression,,,,,,,,http://rdaregistry.info/Elements/e/P20241,is adapted as musical theatre expression,,,,,
3570,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as opera expression|is adapted as opera expression,,,,,,,,http://rdaregistry.info/Elements/e/P20242,is adapted as opera expression,,,,,
3571,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music expression|has music expression,,,,,,,,http://rdaregistry.info/Elements/e/P20243,has music expression,,,,,
3572,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for expression|is music for expression,,,,,,,,http://rdaregistry.info/Elements/e/P20244,is music for expression,,,,,
3573,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,video music expression|has video music expression,,,,,,,,http://rdaregistry.info/Elements/e/P20245,has video music expression,,,,,
3574,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for video expression|is music for video expression,,,,,,,,http://rdaregistry.info/Elements/e/P20246,is music for video expression,,,,,
3575,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,television program music expression|has television program music expression,,,,,,,,http://rdaregistry.info/Elements/e/P20247,has television program music expression,,,,,
3576,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for television program expression|is music for television program expression,,,,,,,,http://rdaregistry.info/Elements/e/P20248,is music for television program expression,,,,,
3577,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,radio program music expression|has radio program music expression,,,,,,,,http://rdaregistry.info/Elements/e/P20249,has radio program music expression,,,,,
3578,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for radio program expression|is music for radio program expression,,,,,,,,http://rdaregistry.info/Elements/e/P20250,is music for radio program expression,,,,,
3579,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,motion picture music expression|has motion picture music expression,,,,,,,,http://rdaregistry.info/Elements/e/P20251,has motion picture music expression,,,,,
3580,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,music for motion picture expression|is music for motion picture expression,,,,,,,,http://rdaregistry.info/Elements/e/P20252,is music for motion picture expression,,,,,
3581,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,choreography expression|has choreography expression,,,,,,,,http://rdaregistry.info/Elements/e/P20253,has choreography expression,,,,,
3582,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,choreography for expression|is choreography for expression,,,,,,,,http://rdaregistry.info/Elements/e/P20254,is choreography for expression,,,,,
3583,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as graphic novel expression|is adapted as graphic novel expression,,,,,,,,http://rdaregistry.info/Elements/e/P20255,is adapted as graphic novel expression,,,,,
3584,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,graphic novelization of expression|is graphic novelization of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20256,is graphic novelization of expression,,,,,
3585,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,subject expression of|is subject expression of,,,,,,,,http://rdaregistry.info/Elements/e/P20268,is subject expression of,,,,,
3586,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression described in|is expression described in,,,,,,,,http://rdaregistry.info/Elements/e/P20269,is expression described in,,,,,
3587,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression analysed in|is expression analysed in,,,,,,,,http://rdaregistry.info/Elements/e/P20270,is expression analysed in,,,,,
3588,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression commentary in|is expression commentary in,,,,,,,,http://rdaregistry.info/Elements/e/P20271,is expression commentary in,,,,,
3589,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression critiqued in|is expression critiqued in,,,,,,,,http://rdaregistry.info/Elements/e/P20272,is expression critiqued in,,,,,
3590,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression evaluated in|is expression evaluated in,,,,,,,,http://rdaregistry.info/Elements/e/P20273,is expression evaluated in,,,,,
3591,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,expression reviewed in|is expression reviewed in,,,,,,,,http://rdaregistry.info/Elements/e/P20274,is expression reviewed in,,,,,
3592,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,oratorio adaptation of expression|is oratorio adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20281,is oratorio adaptation of expression,,,,,
3593,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,adapted as oratorio expression|is adapted as oratorio expression,,,,,,,,http://rdaregistry.info/Elements/e/P20282,is adapted as oratorio expression,,,,,
3594,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,,,,,,,,,http://rdaregistry.info/Elements/e/P20319,aggregates,,,,,
3595,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,aggregated by|is aggregated by,,,,,,,,http://rdaregistry.info/Elements/e/P20320,is aggregated by,,,,,
3596,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,source expression|has source expression,,,,,,,,http://rdaregistry.info/Elements/e/P20574,has source expression,,,,,
3597,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,derivative expression|has derivative expression,,,,,,,,http://rdaregistry.info/Elements/e/P20575,has derivative expression,,,,,
3598,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation described in|is manifestation described in,,,,,,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described in,,,,,
3599,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation analysed in|is manifestation analysed in,,,,,,,,http://rdaregistry.info/Elements/m/P30255,is manifestation analysed in,,,,,
3600,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation commentary in|is manifestation commentary in,,,,,,,,http://rdaregistry.info/Elements/m/P30256,is manifestation commentary in,,,,,
3601,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation critiqued in|is manifestation critiqued in,,,,,,,,http://rdaregistry.info/Elements/m/P30257,is manifestation critiqued in,,,,,
3602,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation evaluated in|is manifestation evaluated in,,,,,,,,http://rdaregistry.info/Elements/m/P30258,is manifestation evaluated in,,,,,
3603,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,manifestation reviewed in|is manifestation reviewed in,,,,,,,,http://rdaregistry.info/Elements/m/P30259,is manifestation reviewed in,,,,,
3604,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,subject item of|is subject item of,,,,,,,,http://rdaregistry.info/Elements/i/P40061,is subject item of,,,,,
3605,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,item described in|is item described in,,,,,,,,http://rdaregistry.info/Elements/i/P40062,is item described in,,,,,
3606,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,item analysed in|is item analysed in,,,,,,,,http://rdaregistry.info/Elements/i/P40063,is item analysed in,,,,,
3607,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,item commentary in|is item commentary in,,,,,,,,http://rdaregistry.info/Elements/i/P40064,is item commentary in,,,,,
3608,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,p,Name of part/section of a work (R),,,,item critiqued in|is item critiqued in,,,,,,,,http://rdaregistry.info/Elements/i/P40065,is item critiqued in,,,,,
