,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,RDA Registry URI,RDA Registry Label, ,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
190,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,inv,,,,,,http://rdaregistry.info/Elements/w/P10584,has inventor family,structured description,,,,
191,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,inventor,,,,,,http://rdaregistry.info/Elements/w/P10443,has inventor person,structured description,,,,
192,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,inv ,,,,,,http://rdaregistry.info/Elements/w/P10443,has inventor person,structured description,,,,
193,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,inventor,,,,,,http://rdaregistry.info/Elements/w/P10443,has inventor person,structured description,,,,
194,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,inv ,,,,,,http://rdaregistry.info/Elements/w/P10443,has inventor person,structured description,,,,
195,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10200,has landscape architect agent,structured description,,,"values of a, b, c, d, g, q, and/or u in order as they appear and retain existing punctuations",
196,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10200,has landscape architect agent,IRI,,,,
197,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10472,has landscape architect collective agent,IRI,,,,
198,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10472,has landscape architect collective agent,structured description,,,"values of a, b, c, d, g, q, and/or u in order as they appear and retain existing punctuations",
199,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10566,has landscape architect family,IRI,,,,
200,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10425,has landscape architect person,IRI,,,,
201,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10425,has landscape architect person,IRI,,,,
202,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10425,has landscape architect person,structured description,,"values of a, b, c, d, g, q, and/or u in order as they appear and retain existing punctuations",,
203,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,landscape architect,,,,,,http://rdaregistry.info/Elements/w/P10425,has landscape architect person,structured description,,"values of a, b, c, d, g, q, and/or u in order as they appear and retain existing punctuations",,
204,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10205,has librettist agent,structured description,,,,
205,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,lbt,,,,,,http://rdaregistry.info/Elements/w/P10205,has librettist agent,structured description,,,,
206,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10205,has librettist agent,IRI,,,,
207,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,4,lbt,,,,,,http://rdaregistry.info/Elements/w/P10205,has librettist agent,IRI,,,,
208,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10478,has librettist collective agent,IRI,,,,
209,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10478,has librettist collective agent,structured description,,,,
210,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,lbt,,,,,,http://rdaregistry.info/Elements/w/P10478,has librettist collective agent,structured description,,,,
211,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10572,has librettist family,structured description,,,,
212,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,lbt,,,,,,http://rdaregistry.info/Elements/w/P10572,has librettist family,structured description,,,,
213,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,IRI,,,,
214,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,4,lbt,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,IRI,,,,
215,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,IRI,,,,
216,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,4,lbt,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,IRI,,,,
217,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,structured description,,,,
218,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,lbt,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,structured description,,,,
219,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,librettist,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,structured description,,,,
220,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,4.0,lbt,librettist,,,,,,http://rdaregistry.info/Elements/w/P10431,has librettist person,structured description,,,,
221,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10204,has lyricist agent,structured description,,,,
222,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10204,has lyricist agent,structured description,,,,
223,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10204,has lyricist agent,IRI,,,,
224,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10204,has lyricist agent,IRI,,,,
225,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10477,has lyricist collective agent,IRI,,,,
226,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10477,has lyricist collective agent,IRI,,,,
227,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10477,has lyricist collective agent,structured description,,,,
228,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10477,has lyricist collective agent,structured description,,,,
229,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10571,has lyricist family,IRI,,,,
230,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10571,has lyricist family,IRI,,,,
231,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10571,has lyricist family,structured description,,,,
232,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10571,has lyricist family,structured description,,,,
233,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,IRI,,,,
234,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,IRI,,,,
235,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,IRI,,,,
236,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,IRI,,,,
237,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,structured description,,,,
238,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,structured description,,,,
239,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,lyricist,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,structured description,,,,
240,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,lyr,,,,,,http://rdaregistry.info/Elements/w/P10430,has lyricist person,structured description,,,,
241,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10056,has photographer agent of work,structured description,,,,
242,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,pht,,,,,,http://rdaregistry.info/Elements/w/P10056,has photographer agent of work,structured description,,,,
243,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10056,has photographer agent of work,IRI,,,,
244,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10056,has photographer agent of work,IRI,,,,
245,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10492,has photographer collective agent of work,IRI,,,,
246,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10492,has photographer collective agent of work,structured description,,,,
247,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10492,has photographer collective agent of work,structured description,,,,
248,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10586,has photographer family of work,IRI,,,,
249,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10586,has photographer family of work,IRI,,,,
250,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10586,has photographer family of work,structured description,,,,
251,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10586,has photographer family of work,structured description,,,,
252,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,IRI,,,,
253,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,IRI,,,,
254,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,IRI,,,,
255,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,IRI,,,,
256,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,structured description,,,,
257,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,structured description,,,,
258,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,photographer,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,structured description,,,,
259,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10445,has photographer person of work,structured description,,,,
260,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,$e,praeses,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,IRI,,,,
261,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,IRI,,,,
262,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,$e,praeses,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,IRI,,,,
263,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,4,pht,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,IRI,,,,
264,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,praeses,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,structured description,,,,
265,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,pra,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,structured description,,,,
266,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,praeses,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,structured description,,,,
267,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,pra,,,,,,http://rdaregistry.info/Elements/w/P10045,has praeses,structured description,,,,
268,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10050,has programmer agent,structured description,,,,
269,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$4,prg,,,,,,http://rdaregistry.info/Elements/w/P10050,has programmer agent,structured description,,,,
270,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10050,has programmer agent,IRI,,,,
271,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10050,has programmer agent,IRI,,,,
272,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10487,has programmer collective agent,IRI,,,,
273,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10487,has programmer collective agent,IRI,,,,
274,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10487,has programmer collective agent,structured description,,,,
275,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10487,has programmer collective agent,structured description,,,,
276,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10581,has programmer family,IRI,,,,
277,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10581,has programmer family,IRI,,,,
278,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10581,has programmer family,structured description,,,,
279,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10581,has programmer family,structured description,,,,
280,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,IRI,,,,
281,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,IRI,,,,
282,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,IRI,,,,
283,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,IRI,,,,
284,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,structured description,,,,
285,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,structured description,,,,
286,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,programmer,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,structured description,,,,
287,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,4,prg,,,,,,http://rdaregistry.info/Elements/w/P10440,has programmer person,structured description,,,,
288,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10255,has rapporteur agent,structured description,,,,
289,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,*,,Undefined,*,,,,1,Real World Object URI (R),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10255,has rapporteur agent,IRI,,,,
290,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10479,has rapporteur collective agent,IRI,,,,
291,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10479,has rapporteur collective agent,structured description,,,,
292,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,1,Real World Object URI (R),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10573,has rapporteur family,IRI,,,,
293,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,3,Family name,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10573,has rapporteur family,structured description,,,,
294,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,1,Real World Object URI (R),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10432,has rapporteur person,IRI,,,,
295,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,1,Real World Object URI (R),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10432,has rapporteur person,IRI,,,,
296,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,0,Forename,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10432,has rapporteur person,structured description,,,,
297,delete,100.0,MAIN ENTRY--PERSONAL NAME (NR),Type of personal name entry element,1,Surname,Undefined,*,,,,"a,b,c,d,g,q,u",Personal name (NR),,,$e,rapporteur,,,,,,http://rdaregistry.info/Elements/w/P10432,has rapporteur person,structured description,,,,
